# Jet construct-scale matrix v1.
# construct<TAB>scale<TAB>axis<TAB>instantiations<TAB>glue_units<TAB>source<TAB>expected
# Each family has 1/2/4 scale points. The source and golden files are checked
# before timing; axis values describe isolated construct growth, not runtime input.
generic-instantiations	1	type_args=1;uses=1	1	1	tools/perf/constructs/generic-1.jet	tools/perf/constructs/generic-1.out
generic-instantiations	2	type_args=2;uses=2	2	2	tools/perf/constructs/generic-2.jet	tools/perf/constructs/generic-2.out
generic-instantiations	4	type_args=4;uses=4	4	4	tools/perf/constructs/generic-4.jet	tools/perf/constructs/generic-4.out
bounded-variadics	1	args=1;nested_forward=1	0	2	tools/perf/constructs/variadic-1.jet	tools/perf/constructs/variadic-1.out
bounded-variadics	2	args=2;nested_forward=2	0	4	tools/perf/constructs/variadic-2.jet	tools/perf/constructs/variadic-2.out
bounded-variadics	4	args=4;nested_forward=3	0	8	tools/perf/constructs/variadic-4.jet	tools/perf/constructs/variadic-4.out
derives-reflection	1	fields=1;derives=1	0	1	tools/perf/constructs/derive-1.jet	tools/perf/constructs/derive-1.out
derives-reflection	2	fields=2;derives=2	0	4	tools/perf/constructs/derive-2.jet	tools/perf/constructs/derive-2.out
derives-reflection	4	fields=4;derives=2	0	8	tools/perf/constructs/derive-4.jet	tools/perf/constructs/derive-4.out
large-matches	1	arms=3;payload_width=1	0	3	tools/perf/constructs/match-1.jet	tools/perf/constructs/match-1.out
large-matches	2	arms=5;payload_width=1	0	5	tools/perf/constructs/match-2.jet	tools/perf/constructs/match-2.out
large-matches	4	arms=9;payload_width=1	0	9	tools/perf/constructs/match-4.jet	tools/perf/constructs/match-4.out
closures	1	captures=1;nesting=1	0	1	tools/perf/constructs/closure-1.jet	tools/perf/constructs/closure-1.out
closures	2	captures=2;nesting=2	0	2	tools/perf/constructs/closure-2.jet	tools/perf/constructs/closure-2.out
closures	4	captures=4;nesting=4	0	4	tools/perf/constructs/closure-4.jet	tools/perf/constructs/closure-4.out
taskgroups-select	1	tasks=1;select_arms=1	0	2	tools/perf/constructs/task-select-1.jet	tools/perf/constructs/task-select-1.out
taskgroups-select	2	tasks=2;select_arms=1	0	3	tools/perf/constructs/task-select-2.jet	tools/perf/constructs/task-select-2.out
taskgroups-select	4	tasks=4;select_arms=1	0	5	tools/perf/constructs/task-select-4.jet	tools/perf/constructs/task-select-4.out
drop-cleanup	1	guards=2;aggregate_width=1	0	2	tools/perf/constructs/drop-1.jet	tools/perf/constructs/drop-1.out
drop-cleanup	2	guards=4;aggregate_width=1	0	4	tools/perf/constructs/drop-2.jet	tools/perf/constructs/drop-2.out
drop-cleanup	4	guards=8;aggregate_width=1	0	8	tools/perf/constructs/drop-4.jet	tools/perf/constructs/drop-4.out
